# numeff, colvar, npoints 
0 -179.5 183 
1 -178.5 181 
2 -177.5 177 
3 -176.5 188 
4 -175.5 201 
5 -174.5 170 
6 -173.5 184 
7 -172.5 185 
8 -171.5 192 
9 -170.5 167 
10 -169.5 173 
11 -168.5 192 
12 -167.5 164 
13 -166.5 177 
14 -165.5 175 
15 -164.5 171 
16 -163.5 161 
17 -162.5 183 
18 -161.5 178 
19 -160.5 175 
20 -159.5 190 
21 -158.5 202 
22 -157.5 185 
23 -156.5 156 
24 -155.5 147 
25 -154.5 192 
26 -153.5 137 
27 -152.5 189 
28 -151.5 172 
29 -150.5 184 
30 -149.5 172 
31 -148.5 163 
32 -147.5 156 
33 -146.5 166 
34 -145.5 170 
35 -144.5 163 
36 -143.5 157 
37 -142.5 157 
38 -141.5 167 
39 -140.5 176 
40 -139.5 155 
41 -138.5 155 
42 -137.5 153 
43 -136.5 170 
44 -135.5 159 
45 -134.5 170 
46 -133.5 144 
47 -132.5 157 
48 -131.5 173 
49 -130.5 150 
50 -129.5 162 
51 -128.5 140 
52 -127.5 171 
53 -126.49999999999999 154 
54 -125.5 127 
55 -124.5 150 
56 -123.5 154 
57 -122.5 148 
58 -121.50000000000001 133 
59 -120.49999999999999 151 
60 -119.5 147 
61 -118.5 161 
62 -117.5 155 
63 -116.5 143 
64 -115.50000000000001 159 
65 -114.5 167 
66 -113.5 137 
67 -112.5 163 
68 -111.5 150 
69 -110.5 149 
70 -109.49999999999999 151 
71 -108.5 189 
72 -107.5 156 
73 -106.5 130 
74 -105.5 167 
75 -104.50000000000001 175 
76 -103.49999999999999 143 
77 -102.5 169 
78 -101.5 169 
79 -100.5 158 
80 -99.5 164 
81 -98.50000000000001 161 
82 -97.5 145 
83 -96.5 162 
84 -95.5 156 
85 -94.5 172 
86 -93.50000000000001 183 
87 -92.49999999999999 164 
88 -91.5 172 
89 -90.5 159 
90 -89.5 166 
91 -88.5 181 
92 -87.5 170 
93 -86.5 179 
94 -85.5 172 
95 -84.5 149 
96 -83.5 183 
97 -82.5 159 
98 -81.5 193 
99 -80.5 191 
100 -79.5 190 
101 -78.5 173 
102 -77.5 176 
103 -76.5 187 
104 -75.5 172 
105 -74.5 200 
106 -73.5 179 
107 -72.5 175 
108 -71.5 181 
109 -70.5 197 
110 -69.5 177 
111 -68.5 180 
112 -67.5 186 
113 -66.5 174 
114 -65.5 182 
115 -64.5 185 
116 -63.50000000000001 162 
117 -62.5 180 
118 -61.5 181 
119 -60.50000000000001 162 
120 -59.5 174 
121 -58.5 181 
122 -57.49999999999999 173 
123 -56.5 183 
124 -55.5 171 
125 -54.49999999999999 187 
126 -53.5 184 
127 -52.5 191 
128 -51.5 178 
129 -50.5 180 
130 -49.50000000000001 171 
131 -48.5 166 
132 -47.5 206 
133 -46.50000000000001 184 
134 -45.5 161 
135 -44.5 179 
136 -43.5 183 
137 -42.5 175 
138 -41.5 177 
139 -40.5 160 
140 -39.5 179 
141 -38.5 162 
142 -37.5 132 
143 -36.5 157 
144 -35.5 182 
145 -34.5 187 
146 -33.5 177 
147 -32.5 162 
148 -31.499999999999996 190 
149 -30.5 149 
150 -29.5 167 
151 -28.5 152 
152 -27.500000000000004 161 
153 -26.5 157 
154 -25.5 120 
155 -24.499999999999996 146 
156 -23.5 166 
157 -22.5 161 
158 -21.5 155 
159 -20.5 147 
160 -19.5 145 
161 -18.5 158 
162 -17.5 137 
