# numeff, colvar, npoints 
0 10.2 13 
1 10.399999999999999 147 
2 10.6 912 
3 10.799999999999999 2246 
4 10.999999999999998 2756 
5 11.2 2361 
6 11.399999999999999 2281 
7 11.6 2373 
8 11.799999999999999 2260 
9 11.999999999999998 2186 
10 12.2 2407 
11 12.399999999999999 2626 
12 12.6 2701 
13 12.799999999999999 2637 
14 12.999999999999998 2546 
15 13.2 2598 
16 13.399999999999999 2487 
17 13.6 2656 
18 13.799999999999999 2824 
19 14.0 2784 
20 14.2 2616 
21 14.399999999999999 2646 
22 14.6 2605 
23 14.799999999999999 2643 
24 15.0 2672 
25 15.2 2564 
26 15.399999999999999 2558 
27 15.6 2451 
28 15.799999999999999 2472 
29 16.0 2520 
30 16.2 2395 
31 16.4 2382 
32 16.6 2374 
33 16.799999999999997 2279 
34 17.0 2230 
35 17.2 2296 
36 17.4 2263 
37 17.6 2216 
38 17.799999999999997 2152 
39 18.0 2093 
40 18.2 2073 
41 18.4 2084 
42 18.6 2031 
43 18.8 1957 
44 19.0 1985 
45 19.2 1970 
46 19.4 1965 
47 19.6 1909 
48 19.8 1852 
49 20.0 1787 
50 20.2 1855 
51 20.4 1773 
52 20.6 1792 
53 20.8 1759 
54 21.0 1702 
55 21.2 1727 
56 21.4 1688 
57 21.6 1591 
58 21.8 1671 
59 22.0 1664 
60 22.2 1637 
61 22.4 1564 
62 22.6 1633 
63 22.8 1569 
64 23.0 1556 
65 23.2 1538 
66 23.4 1547 
67 23.6 1512 
68 23.8 1527 
69 24.0 1636 
70 24.2 1454 
71 24.4 1531 
72 24.6 1501 
73 24.8 1521 
74 25.0 1567 
75 25.2 1494 
76 25.4 1531 
77 25.6 1566 
78 25.8 1544 
79 26.0 1584 
80 26.2 1504 
81 26.4 1482 
82 26.6 1510 
83 26.8 1464 
84 27.0 1409 
85 27.2 1439 
86 27.4 1436 
87 27.6 1401 
88 27.8 1356 
89 28.0 1396 
90 28.2 1455 
91 28.4 1337 
92 28.6 1425 
93 28.8 1408 
94 29.0 1363 
95 29.2 1342 
96 29.4 1318 
97 29.6 1333 
98 29.8 1389 
99 30.0 1341 
100 30.2 1300 
101 30.4 1267 
102 30.6 1272 
103 30.8 1249 
104 31.0 1225 
105 31.2 1218 
106 31.4 1501 
107 31.6 1413 
108 31.8 1010 
109 32.0 306 
110 32.2 54 
111 32.4 3 
