# numeff, colvar, npoints 
0 0.015000000000000568 2008 
1 0.045000000000001705 3281 
2 0.07500000000000107 4744 
3 0.10500000000000043 6252 
4 0.13500000000000156 7793 
5 0.16500000000000092 9035 
6 0.19500000000000028 10213 
7 0.22500000000000142 11040 
8 0.2550000000000008 11747 
9 0.2850000000000019 12158 
10 0.3150000000000013 12453 
11 0.34500000000000064 12397 
12 0.3750000000000018 12332 
13 0.40500000000000114 12150 
14 0.4350000000000005 12061 
15 0.46500000000000163 11879 
16 0.495000000000001 11504 
17 0.5250000000000004 11207 
18 0.5550000000000015 11223 
19 0.5850000000000009 10700 
20 0.615000000000002 10681 
21 0.6450000000000014 10661 
22 0.6750000000000007 10620 
23 0.7050000000000018 10530 
24 0.7350000000000012 10547 
25 0.7650000000000006 10371 
26 0.7950000000000017 10378 
27 0.8250000000000011 10336 
28 0.8550000000000004 10167 
29 0.8850000000000016 10091 
30 0.9150000000000009 10118 
31 0.9450000000000003 10075 
32 0.9750000000000014 9965 
33 1.0050000000000008 9964 
34 1.035000000000002 9877 
35 1.0650000000000013 10046 
36 1.0950000000000006 10086 
37 1.1250000000000018 10103 
38 1.1550000000000011 10126 
39 1.1850000000000005 10007 
40 1.2150000000000016 10333 
41 1.245000000000001 10302 
42 1.2750000000000004 10339 
43 1.3050000000000015 10477 
44 1.3350000000000009 10207 
45 1.3650000000000002 10258 
46 1.3950000000000014 10479 
47 1.4250000000000007 10569 
48 1.4550000000000018 10258 
49 1.4850000000000012 10325 
50 1.5150000000000006 10342 
51 1.5450000000000017 10183 
52 1.575000000000001 10252 
53 1.6050000000000004 10180 
54 1.6350000000000016 10045 
55 1.665000000000001 10125 
56 1.6950000000000003 10127 
57 1.7250000000000014 10103 
58 1.7550000000000008 9936 
59 1.785000000000002 9941 
60 1.8150000000000013 9976 
61 1.8450000000000006 9847 
62 1.8750000000000018 9876 
63 1.9050000000000011 9779 
64 1.9350000000000005 9775 
65 1.9650000000000016 9685 
66 1.995000000000001 9614 
67 2.0250000000000004 9680 
68 2.0550000000000015 9536 
69 2.085000000000001 9530 
70 2.115 9225 
71 2.1450000000000014 9224 
72 2.1750000000000007 9172 
73 2.205000000000002 9044 
74 2.235000000000001 9012 
75 2.2650000000000006 8907 
76 2.2950000000000017 8907 
77 2.325000000000001 8813 
78 2.3550000000000004 8734 
79 2.3850000000000016 8752 
80 2.415000000000001 8866 
81 2.4450000000000003 8765 
82 2.4750000000000014 8796 
83 2.505000000000001 9068 
84 2.535 8999 
85 2.5650000000000013 9228 
86 2.5950000000000006 9228 
87 2.6250000000000018 9143 
88 2.655000000000001 9161 
89 2.6850000000000005 9278 
90 2.7150000000000016 9207 
91 2.745000000000001 9199 
92 2.7750000000000004 9216 
93 2.8050000000000015 9338 
94 2.835000000000001 9171 
95 2.865 9350 
96 2.8950000000000014 9297 
97 2.9250000000000007 9173 
98 2.955000000000002 9103 
99 2.985000000000001 8994 
100 3.0150000000000006 8960 
101 3.0450000000000017 8934 
102 3.075000000000001 8849 
103 3.1050000000000004 8898 
104 3.1350000000000016 8594 
105 3.165000000000001 8540 
106 3.1950000000000003 8410 
107 3.2250000000000014 8382 
108 3.255000000000001 8416 
109 3.285 8296 
110 3.3150000000000013 8216 
111 3.3450000000000006 8318 
112 3.3750000000000018 8092 
