# numeff, colvar, npoints 
0 0.008749999999999591 48371 
1 0.026249999999999662 11489 
2 0.043749999999999734 8421 
3 0.061249999999999805 6784 
4 0.07874999999999988 5921 
5 0.0962499999999995 5247 
6 0.11374999999999957 4801 
7 0.13124999999999964 4385 
8 0.14874999999999972 4243 
9 0.1662499999999998 3998 
10 0.18374999999999986 3591 
11 0.20124999999999993 3528 
12 0.21874999999999956 3304 
13 0.23624999999999963 3131 
14 0.2537499999999997 3021 
15 0.27124999999999977 2973 
16 0.28874999999999984 2874 
17 0.3062499999999999 2710 
18 0.32374999999999954 2477 
19 0.3412499999999996 2463 
20 0.3587499999999997 2427 
21 0.37624999999999975 2346 
22 0.3937499999999998 2362 
23 0.4112499999999999 2217 
24 0.42874999999999996 2211 
25 0.4462499999999996 2204 
26 0.46374999999999966 2168 
27 0.48124999999999973 2223 
28 0.4987499999999998 2201 
29 0.5162499999999999 2143 
30 0.53375 2156 
31 0.5512499999999996 2190 
32 0.5687499999999996 2174 
33 0.5862499999999997 2248 
34 0.6037499999999998 2268 
35 0.6212499999999999 2345 
36 0.6387499999999999 2396 
37 0.6562499999999996 2444 
38 0.6737499999999996 2562 
39 0.6912499999999997 2580 
40 0.7087499999999998 2642 
41 0.7262499999999998 2833 
42 0.7437499999999999 2975 
43 0.76125 2953 
44 0.7787499999999996 3110 
45 0.7962499999999997 3244 
46 0.8137499999999998 3317 
47 0.8312499999999998 3480 
48 0.8487499999999999 3677 
49 0.86625 3781 
50 0.8837499999999996 3910 
51 0.9012499999999997 4163 
52 0.9187499999999997 4391 
53 0.9362499999999998 4597 
54 0.9537499999999999 5196 
55 0.97125 6028 
56 0.9887499999999996 9068 
57 1.0062499999999996 20424 
58 1.0237499999999997 6786 
59 1.0412499999999998 5962 
60 1.0587499999999999 5277 
61 1.07625 5002 
62 1.09375 4636 
63 1.1112499999999996 4544 
64 1.1287499999999997 4383 
65 1.1462499999999998 4343 
66 1.1637499999999998 4160 
67 1.18125 3998 
68 1.19875 3987 
69 1.2162499999999996 3760 
70 1.2337499999999997 3683 
71 1.2512499999999998 3709 
72 1.2687499999999998 3650 
73 1.28625 3435 
74 1.30375 3562 
75 1.32125 3446 
76 1.3387499999999997 3418 
77 1.3562499999999997 3488 
